date,walk_forward,YB_RSI_70_60_50,YB_Consensus_80_60_40,YB_HybridAND_80_60_40,YB_MDD_AND_60_40_20,GB_intraday_opt,bench
2020-09-01,100165.24001770814,97933.16235205789,97434.6149499477,97434.61494994762,98346.47384919968,100165.24001770814,156182.5726141079
2020-09-02,103048.95533259108,101223.19760718315,101176.27419959585,101176.27419959578,101177.82764771832,104387.49726503382,169875.51867219913
2020-09-03,103956.92598267463,101885.80104186136,101610.57715353096,101610.57715353087,102069.3116772928,104387.49726503382,141078.83817427384
2020-09-04,101928.89321348649,99840.86693846686,99514.01616820983,99514.01616820974,100078.10323347515,104387.49726503382,136348.5477178423
2020-09-08,97256.30775772512,93782.13076678837,91996.40008476045,91996.40008476036,95490.36098624502,95806.4292158107,117261.41078838175
2020-09-09,97256.30775772512,93782.13076678837,91996.40008476045,91996.40008476036,95490.36098624502,103041.57183051149,127302.90456431535
2020-09-10,97786.08930290853,94292.98752552929,92497.52948306772,92497.52948306761,96010.52293933331,103041.57183051149,121742.73858921161
2020-09-11,95052.9767612457,91291.00548686922,89193.18625733246,89193.1862573324,93327.03732038962,97803.84063507727,121742.73858921161
2020-09-14,98377.7473219083,95031.3429565727,93386.46248781537,93386.46248781528,96591.43783439012,103582.63570283292,129377.59336099583
2020-09-15,98328.36124137725,94975.68575802268,93323.95524429086,93323.95524429077,96542.94848941773,103582.63570283292,136016.59751037345
2020-09-16,99006.24711784377,95739.65059214279,94181.94553439872,94181.94553439862,97208.52554599814,103582.63570283292,131784.23236514523
2020-09-17,99006.24711784377,95739.65059214279,94181.94553439872,94181.94553439862,97208.52554599814,109243.39067714954,131286.3070539419
2020-09-18,99241.53089634584,95967.17145470993,94405.76458276276,94405.76458276267,97439.53712212479,110875.43522797499,125228.21576763486
2020-09-21,100441.66965333457,97127.71302255086,95547.42388543175,95547.42388543166,98617.88417005015,112878.13073415964,124564.3153526971
2020-09-22,100441.66965333457,97127.71302255086,95547.42388543175,95547.42388543166,98617.88417005015,114665.3511934747,128962.65560165973
2020-09-23,95593.14837038277,92439.16308725378,89277.45717463092,89277.45717463084,93857.40067820401,107874.707616708,119502.07468879668
2020-09-24,96533.63645320182,93348.6208543783,90273.56283006785,90273.56283006776,94780.81170009241,106231.8551798223,122987.5518672199
2020-09-25,97861.55199995716,94632.72336470682,91928.80861445058,91928.80861445049,96084.61541053957,107217.21520448111,128215.76763485475
2020-09-28,100545.78128169358,97482.24942160354,95292.45222626963,95292.45222626952,98720.10537507094,112335.0939093754,138838.17427385892
2020-09-29,100124.14056570959,97006.11045178742,94761.3918583685,94761.39185836843,98306.12066699311,111434.56266236698,139585.0622406639
2020-09-30,99258.27471477131,96027.58398713653,93669.16795138236,93669.1679513823,97455.97691202222,111240.87677252226,139834.02489626556
2020-10-01,101982.58155477385,99105.98379920186,97104.83176551024,97104.83176551019,100130.81672022452,116770.88909304758,148713.6929460581
2020-10-02,99839.17929482863,96677.49310286553,94387.25613547719,94387.25613547713,98026.3336254029,108598.3924810657,135352.69709543567
2020-10-05,102789.62752500351,100010.67616630887,98106.36673958991,98106.36673958985,100923.20862576243,108598.3924810657,148547.71784232365
2020-10-06,100895.15511550521,97861.00661463036,95697.26299585932,95697.26299585926,99063.13539830533,108598.3924810657,146141.07883817426
2020-10-07,103382.66035150856,100684.16095809542,98861.76038375038,98861.76038375036,101505.4733650401,107970.63209277054,154771.78423236514
2020-10-08,104225.12191916427,101641.4554774832,99936.0959168762,99936.09591687618,102332.63780369928,110886.75881867313,160331.95020746888
