date,R10+RSI 70/60/50,Consensus 80/60/40 (default),Hybrid Cons + (VIX_back OR SOXL_mom5),Hybrid Cons + VIX_back,Hybrid Cons + (VIX_back AND SOXL_mom5),soxl_bnh
2020-11-24,122175.5694012553,127995.75474958224,124837.46373619529,124837.46373619529,127995.75474958224,176622.8373702422
2020-11-25,122175.5694012553,127995.75474958224,124837.46373619529,124837.46373619529,127995.75474958224,173522.49134948096
2020-11-27,120985.55518755916,126570.95021210998,123447.81620354197,123447.81620354197,126570.95021210998,180392.1568627451
2020-11-30,121377.87542431414,127040.73723146191,123906.01124373544,123906.01124373544,127040.73723146191,185688.58131487892
2020-12-01,124872.37853929437,131220.78189094528,127982.91343955329,127982.91343955329,131220.78189094528,196848.9042675894
2020-12-02,124599.53357780701,130893.10631630331,127663.32324887362,127663.32324887362,130893.10631630331,199972.31833910034
2020-12-03,125612.06523066443,132108.82001025183,128849.0392476489,128849.0392476489,132108.82001025183,198689.7347174164
2020-12-04,125612.06523066443,132108.82001025183,128849.0392476489,128849.0392476489,132108.82001025183,214745.0980392157
2020-12-07,125612.06523066443,132108.82001025183,128849.0392476489,128849.0392476489,132108.82001025183,218915.80161476356
2020-12-08,124789.82532932085,131120.51510105268,127885.1207293837,127885.1207293837,131120.51510105268,221081.89158016146
2020-12-09,122767.95140758723,128690.29015166032,125514.86150020755,125514.86150020755,128690.29015166032,201845.44405997693
2020-12-10,123668.45597849184,129769.08444315719,126567.03657825635,126567.03657825635,129769.08444315719,203012.68742791234
2020-12-11,119901.79275171054,125258.86269277046,122168.10440032846,122168.10440032846,125258.86269277046,194117.64705882352
2020-12-14,122301.47218709854,128131.129104224,124969.4977331155,124969.4977331155,128131.129104224,202989.61937716263
2020-12-15,124854.03785517493,131187.72823879353,127950.67538517473,127950.67538517473,131187.72823879353,210168.39677047293
2020-12-16,124854.03785517493,131187.72823879353,127950.67538517473,127950.67538517473,131187.72823879353,211185.6978085352
2020-12-17,124854.03785517493,131187.72823879353,127950.67538517473,127950.67538517473,131187.72823879353,211141.8685121107
