date,V1,V2_FINAL,SOXL_buy_hold
2022-09-02,54562206.46908683,56333931.78388387,2327601.707637982
2022-09-06,54591843.58161652,56358302.62409294,2247963.7759115677
2022-09-07,55017571.11859118,56709905.058304295,2351131.139709833
2022-09-08,55553549.73913038,57152522.269633755,2470588.1236048196
2022-09-09,56434946.60278768,57879540.73809372,2651583.5955937654
2022-09-12,56620347.95924435,58031756.33335897,2675113.0276656165
2022-09-13,56620347.95924435,58031756.33335897,2188235.2839640747
2022-09-14,56600675.80293189,58016243.37615518,2255203.5878866967
2022-09-15,55817185.16551172,57393189.36670706,2155656.0437706294
2022-09-16,55918151.50990668,57475979.20689717,2182805.4681354114
2022-09-19,55928660.394048914,57496136.049936906,2219004.528011054
2022-09-20,55056105.87175087,56780988.18608193,2117646.987748522
2022-09-21,54509475.545128636,56340394.75766951,2063348.311629691
2022-09-22,54317099.121662125,56185231.36785235,1902262.4520303984
2022-09-23,54317099.121662125,56185231.36785235,1815384.5357181232
2022-09-26,53752634.41957364,55799868.412218854,1728506.792016581
2022-09-27,54145193.55637485,56067870.554175526,1775565.656160283
2022-09-28,54682808.40572957,56541304.19349628,1840723.9639364392
2022-09-29,54109146.34218137,56036126.70665443,1681447.927872879
2022-09-30,53883931.9439102,55877986.44825652,1603619.8196821979
2022-10-03,54678223.247261666,56510201.509138204,1755656.0437706294
2022-10-04,55779964.544399396,57423092.785922304,1998190.0038535346
2022-10-05,56638263.376177624,58129958.39772841,2066968.3039226218
2022-10-06,56177369.16597758,57690354.36509481,2025339.2556075833
2022-10-07,55376201.278690964,56867609.191910535,1666968.3039226222
2022-10-10,55376201.278690964,56867609.191910535,1498642.4597374678
2022-10-11,55376201.278690964,56867609.191910535,1370135.7540262532
2022-10-12,54995196.36695828,56609607.82622462,1328506.792016581
2022-10-13,54017091.81417798,55947274.34277076,1447963.7759115682
2022-10-14,54017091.81417798,55947274.34277076,1254298.5898134639
2022-10-17,54017091.81417798,55947274.34277076,1326696.7958701157
2022-10-18,54017091.81417798,55947274.34277076,1339366.509979274
2022-10-19,54302522.60589269,56183778.37175287,1370135.7540262532
2022-10-20,54306371.343857855,56187238.154119745,1393665.0997927377
2022-10-21,55478043.10290403,57157318.1390836,1552941.1358562983
2022-10-24,55422186.33459585,57111608.85481792,1571040.752099486
2022-10-25,55993137.48809905,57582088.66522493,1676018.112044216
2022-10-26,55244764.63272157,56965399.334131345,1630769.2440469794
2022-10-27,54135795.436665066,56050592.31453272,1542081.5041989717
2022-10-28,55434995.95201154,57126462.38219274,1719456.983894987
2022-10-31,55108069.388173796,56855705.48736848,1614479.6239502572
2022-11-01,55108069.388173796,56855705.48736848,1647058.8641437022
2022-11-02,53374163.46556288,55424591.01613751,1491402.647762339
2022-11-03,52859407.27599022,54999726.5396705,1428054.2498272813
2022-11-04,52859407.27599022,54999726.5396705,1627149.2517540487
2022-11-07,53118552.522737525,55215437.13408923,1735746.6039917096
2022-11-08,53884835.41752001,55853285.370941594,1840723.9639364392
2022-11-09,53884835.41752001,55853285.370941594,1672398.1197512853
2022-11-10,53884835.41752001,55853285.370941594,2186425.2878176095
2022-11-11,54813915.40747487,56623701.30572993,2392760.1880248715
2022-11-14,53549184.533371605,55576799.2569506,2311312.260151992
2022-11-15,57074678.84437123,58493483.9928367,2510407.175773393
2022-11-16,57074678.84437123,58493483.9928367,2195475.095939203
2022-11-17,59362769.29147805,60369459.60446581,2238913.967789974
2022-11-18,61001792.8240322,61713273.69094376,2260633.40371536
2022-11-21,61001792.8240322,61713273.69094376,2152036.2240884323
2022-11-22,61858699.74736907,62406794.704532325,2334841.51961311
2022-11-23,62491406.84713882,62917435.854589134,2410859.6316573266
2022-11-25,61884984.07702783,62427973.18911765,2327601.707637982
2022-11-28,59819227.50166512,60760867.6962379,2142986.415966838
2022-11-29,59501441.9091257,60501516.59405468,2123076.8035771847
2022-11-30,65222439.20137268,66293950.59508356,2501357.3676517997
2022-12-01,66030244.01958301,67115026.49111933,2443438.8718507714
2022-12-02,67243714.90339229,68348432.96602055,2358370.951684961
2022-12-05,65067511.93581789,66136478.09613561,2278733.019958548
2022-12-06,64873487.96786681,65939266.59188784,2121266.980041452
2022-12-07,65223182.68434,66294706.292412676,2117646.987748522
2022-12-08,66660356.328748,67755490.64432533,2284162.8357872106
2022-12-09,65339364.909705274,66635925.96705008,2229864.1596683804
2022-12-12,65656003.69532273,66897094.55310714,2349321.143563367
2022-12-13,68014972.29837151,68825134.94825983,2466968.303922622
2022-12-14,64622766.039886706,66079044.837531224,2352941.1358562983
2022-12-15,64622766.039886706,66079044.837531224,2063348.311629691
2022-12-16,64182051.216586605,65718527.74605994,2010859.6316573261
2022-12-19,64182724.68193515,65719078.6596118,1934841.5196131105
2022-12-20,64177884.044837974,65715113.45294002,1884162.8357872106
2022-12-21,65232498.621398285,66578348.78884947,2016289.6200967226
2022-12-22,64053197.369449005,65613487.39450723,1770135.6677208866
2022-12-23,64110278.183205515,65660264.403714485,1768325.8441851542
2022-12-27,63704532.219893694,65327760.68814721,1677828.108190681
2022-12-28,62923116.73504559,64686699.564069405,1603619.8196821979
2022-12-29,64044631.83443637,65606973.09424035,1750226.2279419661
2022-12-30,63720358.664804265,65341259.964752525,1750226.2279419661
2023-01-03,64709663.38738129,66154135.6789271,1694117.5556766707
2023-01-04,64709663.38738129,66154135.6789271,1822624.3476932521
2023-01-05,63980755.734289475,65557992.80621424,1732126.611698779
2023-01-06,66001164.970183834,67211177.18289793,1967420.759806555
2023-01-09,66655963.58027773,67751242.47439054,2086877.743701542
2023-01-10,67592534.51473069,68515621.79215087,2166515.848038689
2023-01-11,68379152.26900105,69153508.92192885,2244343.783618637
2023-01-12,69105778.2185111,69742377.93318063,2320361.8956628535
2023-01-13,68848797.41776307,69540431.32650785,2343891.327734704
2023-01-17,68455735.9192241,69221705.2875568,2363800.9401243576
2023-01-18,67034261.982717864,68080040.62808895,2320361.8956628535
2023-01-19,65889721.5535439,67157699.94932932,2130316.7881630464
