Date,soxl_real,soxl_synth,soxl_spliced,source
2012-07-30,0.409335732460022,0.4847693313519337,0.409335732460022,real
2012-07-31,0.4190425276756286,0.48862212870752125,0.4190425276756286,real
2012-08-01,0.4182844460010528,0.4933457630961295,0.4182844460010528,real
2012-08-02,0.414340615272522,0.4905150720182739,0.414340615272522,real
2012-08-03,0.4398198425769806,0.5174837041559124,0.4398198425769806,real
2012-08-06,0.4475546777248382,0.5258118435566383,0.4475546777248382,real
2012-08-07,0.4745508730411529,0.5540642838911595,0.4745508730411529,real
2012-08-08,0.4809206128120422,0.5553911862171097,0.4809206128120422,real
2012-08-09,0.4897173643112182,0.5657120113350648,0.4897173643112182,real
2012-08-10,0.4960871934890747,0.5745140440846617,0.4960871934890747,real
2012-08-13,0.4865325093269348,0.565396020192556,0.4865325093269348,real
2012-08-14,0.4731858372688293,0.5490910492907667,0.4731858372688293,real
2012-08-15,0.4812236726284027,0.5515336402493596,0.4812236726284027,real
2012-08-16,0.5062479376792908,0.5786476517363982,0.5062479376792908,real
2012-08-17,0.4960871934890747,0.5640447132890217,0.4960871934890747,real
2012-08-20,0.4830435812473297,0.5558924737283217,0.4830435812473297,real
2012-08-21,0.4841056168079376,0.5527253468087886,0.4841056168079376,real
2012-08-22,0.473943829536438,0.5372269696805858,0.473943829536438,real
2012-08-23,0.4643891453742981,0.5140984933916066,0.4643891453742981,real
2012-08-24,0.4719728231430053,0.514955031935383,0.4719728231430053,real
2012-08-27,0.4677260220050812,0.5050787919501031,0.4677260220050812,real
2012-08-28,0.4665130376815796,0.5120235144744362,0.4665130376815796,real
2012-08-29,0.4674230217933655,0.5067587712516705,0.4674230217933655,real
2012-08-30,0.444218635559082,0.48561261467578215,0.444218635559082,real
2012-08-31,0.461659163236618,0.5092082497407844,0.461659163236618,real
2012-09-04,0.4510435163974762,0.49218128338255923,0.4510435163974762,real
2012-09-05,0.4410337805747986,0.4811680403650262,0.4410337805747986,real
2012-09-06,0.4880485236644745,0.5318488586730455,0.4880485236644745,real
2012-09-07,0.4789486825466156,0.5057581125005544,0.4789486825466156,real
2012-09-10,0.4539245069026947,0.4731606844783182,0.4539245069026947,real
2012-09-11,0.461659163236618,0.4771759835077732,0.461659163236618,real
2012-09-12,0.4645411968231201,0.4756680238389399,0.4645411968231201,real
2012-09-13,0.4774328172206878,0.4871337217592,0.4774328172206878,real
2012-09-14,0.4957832098007202,0.5034059609949719,0.4957832098007202,real
2012-09-17,0.4821337461471557,0.4864861721234436,0.4821337461471557,real
2012-09-18,0.4754607379436493,0.4823981766440497,0.4754607379436493,real
2012-09-19,0.4663610458374023,0.47725381226435576,0.4663610458374023,real
2012-09-20,0.454228401184082,0.46319037350501685,0.454228401184082,real
2012-09-21,0.4546832740306854,0.46148581128983546,0.4546832740306854,real
2012-09-24,0.4342090785503387,0.44042916206807264,0.4342090785503387,real
2012-09-25,0.4009949266910553,0.41328810457611487,0.4009949266910553,real
2012-09-26,0.3940181732177734,0.40677936532148834,0.3940181732177734,real
2012-09-27,0.4204075038433075,0.42916729156807604,0.4204075038433075,real
2012-09-28,0.4088808596134186,0.4131289720121439,0.4088808596134186,real
2012-10-01,0.4053929150104522,0.4094630857425943,0.4053929150104522,real
2012-10-02,0.412672609090805,0.41490718283277783,0.412672609090805,real
2012-10-03,0.40584796667099,0.4067684675877366,0.40584796667099,real
2012-10-04,0.4152505993843078,0.4109896053965355,0.4152505993843078,real
