date,equity
2021-08-12,351866.8008249358
2021-08-13,352523.4199040078
2021-08-16,351061.2981654779
2021-08-17,347469.930763075
2021-08-18,336257.8543307695
2021-08-19,337836.94657763065
2021-08-20,337753.0684183269
2021-08-23,350356.327858275
2021-08-24,351063.15205954737
2021-08-25,350339.85784745513
2021-08-26,346801.32373339287
2021-08-27,355536.37502248434
2021-08-30,352611.0800515646
2021-08-31,352376.0966809244
2021-09-01,352376.0966809244
2021-09-02,352376.0966809244
2021-09-03,353993.80603568093
2021-09-07,354189.7085385676
2021-09-08,354189.7085385676
2021-09-09,353510.9993536486
2021-09-10,355068.93711944035
2021-09-13,360596.74605492374
2021-09-14,360596.74605492374
2021-09-15,360596.74605492374
2021-09-16,362974.1257545911
2021-09-17,362005.784441546
2021-09-20,362005.784441546
2021-09-21,362005.784441546
2021-09-22,367670.9725385783
2021-09-23,371205.61753351096
2021-09-24,369793.92439763626
2021-09-27,368436.35236090433
2021-09-28,362170.15023927344
2021-09-29,361836.0892969759
2021-09-30,355454.77601825737
2021-10-01,350165.95475187886
2021-10-04,351874.858151071
2021-10-05,350194.5780713815
2021-10-06,355195.5118352652
2021-10-07,355011.03118644055
2021-10-08,357582.21924721333
2021-10-11,352192.78781730175
2021-10-12,356076.63163182966
2021-10-13,350267.12132895086
2021-10-14,361031.7810578991
2021-10-15,361031.7810578991
2021-10-18,366887.15181015426
2021-10-19,370584.9390335134
2021-10-20,369701.8611365785
2021-10-21,377732.3318787811
2021-10-22,368018.0033997571
2021-10-25,369307.686266848
2021-10-26,374258.2162519363
2021-10-27,369785.2225241836
2021-10-28,380981.94065654074
2021-10-29,382599.9352699593
2021-11-01,389615.98427292553
2021-11-02,394735.9732539472
2021-11-03,398607.91774401633
2021-11-04,415058.17444304517
2021-11-05,416446.47284590313
2021-11-08,423117.4461980588
2021-11-09,421298.8613260777
2021-11-10,430174.26594133687
2021-11-11,430174.26594133687
2021-11-12,430665.67920009606
2021-11-15,433411.5973293837
2021-11-16,444726.3861775907
2021-11-17,444303.26414159394
2021-11-18,444303.26414159394
2021-11-19,443510.9944259282
2021-11-22,427399.8108819363
2021-11-23,420826.7166279071
2021-11-24,425361.3063464018
2021-11-26,417896.8384858987
2021-11-29,431258.37971588166
2021-11-30,413385.6214359242
2021-12-01,401979.1440644514
2021-12-02,399777.8377311446
2021-12-03,389673.3621975465
2021-12-06,381362.73153906345
