date,close
2020-08-26,17.56
2020-08-27,16.9
2020-08-28,17.85
2020-08-31,17.77
2020-09-01,18.82
2020-09-02,20.47
2020-09-03,17.0
2020-09-04,16.43
2020-09-08,14.13
2020-09-09,15.34
2020-09-10,14.67
2020-09-11,14.67
2020-09-14,15.59
2020-09-15,16.39
2020-09-16,15.88
2020-09-17,15.82
2020-09-18,15.09
2020-09-21,15.01
2020-09-22,15.54
2020-09-23,14.4
2020-09-24,14.82
2020-09-25,15.45
2020-09-28,16.73
2020-09-29,16.82
2020-09-30,16.85
2020-10-01,17.92
2020-10-02,16.31
2020-10-05,17.9
2020-10-06,17.61
2020-10-07,18.65
2020-10-08,19.32
2020-10-09,20.35
2020-10-12,21.24
2020-10-13,21.16
2020-10-14,20.85
2020-10-15,20.7
2020-10-16,20.37
2020-10-19,20.07
2020-10-20,20.05
2020-10-21,19.57
2020-10-22,19.66
2020-10-23,19.39
2020-10-26,18.1
2020-10-27,17.94
2020-10-28,16.1
2020-10-29,17.42
2020-10-30,16.6
2020-11-02,16.88
2020-11-03,17.86
2020-11-04,19.74
2020-11-05,22.34
2020-11-06,23.43
2020-11-09,22.65
2020-11-10,20.57
2020-11-11,22.82
2020-11-12,21.93
2020-11-13,22.74
2020-11-16,24.44
2020-11-17,23.82
2020-11-18,23.27
2020-11-19,24.4
2020-11-20,23.98
2020-11-23,25.09
2020-11-24,25.47
2020-11-25,25.19
2020-11-27,26.08
2020-11-30,27.1
2020-12-01,28.5
2020-12-02,28.72
2020-12-03,28.76
2020-12-04,31.15
2020-12-07,31.58
2020-12-08,31.95
2020-12-09,29.15
2020-12-10,29.13
2020-12-11,28.2
2020-12-14,29.2
2020-12-15,30.45
2020-12-16,30.37
2020-12-17,30.56
2020-12-18,30.17
2020-12-21,29.57
2020-12-22,29.48
2020-12-23,28.82
2020-12-24,29.62
2020-12-28,29.49
2020-12-29,29.26
2020-12-30,30.76
2020-12-31,31.1
2021-01-04,30.67
2021-01-05,32.49
2021-01-06,32.23
2021-01-07,35.87
2021-01-08,35.88
2021-01-11,37.09
2021-01-12,37.75
2021-01-13,37.87
2021-01-14,40.34
2021-01-15,37.9
2021-01-19,41.64
2021-01-20,41.33
2021-01-21,43.09
2021-01-22,40.79
2021-01-25,40.93
2021-01-26,39.13
2021-01-27,33.02
2021-01-28,35.0
2021-01-29,33.4
2021-02-01,37.24
2021-02-02,39.05
2021-02-03,36.62
2021-02-04,37.61
2021-02-05,36.69
2021-02-08,40.11
2021-02-09,39.63
2021-02-10,39.95
2021-02-11,44.12
2021-02-12,45.8
2021-02-16,46.5
2021-02-17,43.99
2021-02-18,42.66
2021-02-19,45.73
2021-02-22,40.69
2021-02-23,39.86
2021-02-24,43.72
2021-02-25,36.18
2021-02-26,38.65
2021-03-01,42.43
2021-03-02,38.55
2021-03-03,34.98
2021-03-04,29.9
2021-03-05,32.74
2021-03-08,27.5
2021-03-09,32.43
2021-03-10,30.68
2021-03-11,34.47
2021-03-12,33.35
2021-03-15,35.63
2021-03-16,36.98
2021-03-17,38.36
2021-03-18,33.61
2021-03-19,34.73
2021-03-22,37.0
2021-03-23,33.96
2021-03-24,32.55
2021-03-25,32.8
2021-03-26,37.61
2021-03-29,35.75
2021-03-30,35.44
2021-03-31,38.26
2021-04-01,42.44
2021-04-05,45.0
2021-04-06,43.39
2021-04-07,43.38
2021-04-08,44.79
2021-04-09,44.5
2021-04-12,43.03
2021-04-13,42.72
2021-04-14,41.23
2021-04-15,43.45
2021-04-16,42.72
2021-04-19,39.46
2021-04-20,37.6
2021-04-21,40.74
2021-04-22,37.94
2021-04-23,40.18
2021-04-26,42.18
2021-04-27,41.27
2021-04-28,39.41
2021-04-29,40.33
2021-04-30,36.9
2021-05-03,35.62
2021-05-04,33.9
2021-05-05,34.45
2021-05-06,35.37
2021-05-07,36.93
2021-05-10,31.88
2021-05-11,32.08
2021-05-12,28.09
2021-05-13,29.26
2021-05-14,31.89
2021-05-17,31.09
2021-05-18,30.29
2021-05-19,32.07
2021-05-20,34.6
2021-05-21,34.12
2021-05-24,36.48
2021-05-25,36.93
2021-05-26,37.14
2021-05-27,37.74
2021-05-28,38.75
2021-06-01,38.29
2021-06-02,39.2
2021-06-03,37.06
2021-06-04,39.71
2021-06-07,38.89
2021-06-08,38.13
2021-06-09,37.68
2021-06-10,38.97
2021-06-11,39.47
2021-06-14,41.16
2021-06-15,40.06
2021-06-16,39.17
2021-06-17,40.25
2021-06-18,37.33
2021-06-21,38.11
2021-06-22,38.58
2021-06-23,39.01
2021-06-24,41.07
2021-06-25,40.65
2021-06-28,43.65
2021-06-29,44.6
2021-06-30,44.54
2021-07-01,42.54
2021-07-02,43.29
2021-07-06,42.99
2021-07-07,41.22
2021-07-08,39.8
2021-07-09,41.77
2021-07-12,43.33
2021-07-13,42.63
2021-07-14,42.18
2021-07-15,39.44
2021-07-16,36.75
2021-07-19,36.82
2021-07-20,38.34
2021-07-21,41.83
2021-07-22,40.73
2021-07-23,41.51
2021-07-26,41.44
2021-07-27,39.13
2021-07-28,41.11
2021-07-29,43.45
2021-07-30,44.34
2021-08-02,45.19
2021-08-03,45.94
2021-08-04,47.59
2021-08-05,47.17
2021-08-06,46.63
2021-08-09,46.1
2021-08-10,44.44
2021-08-11,44.1
2021-08-12,42.6
2021-08-13,43.47
2021-08-16,43.01
2021-08-17,40.49
2021-08-18,38.67
2021-08-19,39.61
2021-08-20,40.41
2021-08-23,43.66
2021-08-24,43.67
2021-08-25,44.72
2021-08-26,44.69
2021-08-27,47.35
2021-08-30,47.69
2021-08-31,46.54
2021-09-01,45.92
2021-09-02,46.29
2021-09-03,47.24
2021-09-07,46.71
2021-09-08,44.93
2021-09-09,45.48
2021-09-10,46.56
2021-09-13,47.87
2021-09-14,47.9
2021-09-15,48.65
2021-09-16,49.04
2021-09-17,46.75
2021-09-20,43.25
2021-09-21,43.59
2021-09-22,46.29
2021-09-23,48.11
2021-09-24,47.92
2021-09-27,47.67
2021-09-28,42.12
2021-09-29,40.07
2021-09-30,40.0
2021-10-01,39.97
2021-10-04,36.99
2021-10-05,38.65
2021-10-06,39.05
2021-10-07,40.38
2021-10-08,39.24
2021-10-11,38.38
2021-10-12,37.02
2021-10-13,37.67
2021-10-14,41.06
2021-10-15,41.89
2021-10-18,42.91
2021-10-19,44.45
2021-10-20,44.18
2021-10-21,45.62
2021-10-22,43.99
2021-10-25,44.98
2021-10-26,44.93
2021-10-27,44.03
2021-10-28,47.05
2021-10-29,47.6
2021-11-01,49.96
2021-11-02,51.82
2021-11-03,53.64
2021-11-04,59.23
2021-11-05,60.92
2021-11-08,63.6
2021-11-09,63.38
2021-11-10,57.85
2021-11-11,61.64
2021-11-12,63.34
2021-11-15,63.2
2021-11-16,66.14
2021-11-17,64.52
2021-11-18,67.99
2021-11-19,68.62
2021-11-22,65.36
2021-11-23,64.68
2021-11-24,66.9
2021-11-26,61.22
2021-11-29,68.44
2021-11-30,64.53
2021-12-01,63.15
2021-12-02,63.3
2021-12-03,63.0
2021-12-06,62.59
2021-12-07,71.99
2021-12-08,70.67
2021-12-09,65.75
2021-12-10,67.57
2021-12-13,62.13
2021-12-14,61.49
2021-12-15,68.24
2021-12-16,59.05
2021-12-17,58.9
2021-12-20,57.54
2021-12-21,63.5
2021-12-22,65.53
2021-12-23,67.41
2021-12-27,72.99
2021-12-28,70.46
2021-12-29,70.87
2021-12-30,68.29
2021-12-31,67.95
2022-01-03,72.05
2022-01-04,71.02
2022-01-05,63.95
2022-01-06,65.51
2022-01-07,59.6
2022-01-10,59.93
2022-01-11,63.32
2022-01-12,64.5
2022-01-13,60.19
2022-01-14,64.46
2022-01-18,55.86
2022-01-19,50.77
2022-01-20,45.95
2022-01-21,43.62
2022-01-24,45.44
2022-01-25,40.12
2022-01-26,42.03
2022-01-27,36.32
2022-01-28,38.36
2022-01-31,44.68
2022-02-01,45.86
2022-02-02,49.28
2022-02-03,42.65
2022-02-04,43.35
2022-02-07,43.4
2022-02-08,46.52
2022-02-09,51.15
2022-02-10,46.34
2022-02-11,39.41
2022-02-14,39.55
2022-02-15,46.06
2022-02-16,46.04
2022-02-17,40.81
2022-02-18,39.54
2022-02-22,38.61
2022-02-23,35.87
2022-02-24,39.88
2022-02-25,41.77
2022-02-28,41.01
2022-03-01,36.56
2022-03-02,40.14
2022-03-03,37.5
2022-03-04,34.74
2022-03-07,29.51
2022-03-08,31.12
2022-03-09,34.98
2022-03-10,32.71
2022-03-11,30.6
2022-03-14,27.82
2022-03-15,31.51
2022-03-16,36.39
2022-03-17,36.99
2022-03-18,39.21
2022-03-21,38.92
2022-03-22,39.63
2022-03-23,36.62
2022-03-24,42.2
2022-03-25,41.95
2022-03-28,42.76
2022-03-29,45.71
2022-03-30,41.31
2022-03-31,38.53
2022-04-01,36.23
2022-04-04,38.0
2022-04-05,32.78
2022-04-06,30.45
2022-04-07,30.5
2022-04-08,28.25
2022-04-11,26.46
2022-04-12,26.2
2022-04-13,28.06
2022-04-14,25.6
2022-04-18,27.01
2022-04-19,28.78
2022-04-20,28.45
2022-04-21,26.16
2022-04-22,24.41
2022-04-25,25.71
2022-04-26,22.35
2022-04-27,21.89
2022-04-28,25.63
2022-04-29,22.22
2022-05-02,24.51
2022-05-03,25.11
2022-05-04,28.04
2022-05-05,23.98
2022-05-06,23.3
2022-05-09,19.65
2022-05-10,21.12
2022-05-11,19.13
2022-05-12,19.47
2022-05-13,22.55
2022-05-16,21.37
2022-05-17,24.62
2022-05-18,20.81
2022-05-19,20.48
2022-05-20,20.34
2022-05-23,20.63
2022-05-24,19.08
2022-05-25,20.22
2022-05-26,22.55
2022-05-27,25.29
2022-05-31,24.85
2022-06-01,23.67
2022-06-02,26.26
2022-06-03,23.89
2022-06-06,23.89
2022-06-07,24.58
2022-06-08,22.91
2022-06-09,21.04
2022-06-10,18.75
2022-06-13,15.5
2022-06-14,15.78
2022-06-15,16.63
2022-06-16,13.52
2022-06-17,13.68
2022-06-21,14.81
2022-06-22,14.27
2022-06-23,13.99
2022-06-24,15.84
2022-06-27,15.79
2022-06-28,14.54
2022-06-29,13.55
2022-06-30,13.08
2022-07-01,11.6
2022-07-05,11.88
2022-07-06,12.1
2022-07-07,13.71
2022-07-08,13.91
2022-07-11,12.89
2022-07-12,12.98
2022-07-13,13.28
2022-07-14,14.08
2022-07-15,15.13
2022-07-18,14.89
2022-07-19,16.96
2022-07-20,18.22
2022-07-21,19.08
2022-07-22,17.62
2022-07-25,17.29
2022-07-26,16.4
2022-07-27,18.74
2022-07-28,19.37
2022-07-29,19.84
2022-08-01,20.0
2022-08-02,19.9
2022-08-03,21.56
2022-08-04,22.11
2022-08-05,21.54
2022-08-08,20.51
2022-08-09,17.67
2022-08-10,19.97
2022-08-11,19.77
2022-08-12,21.6
2022-08-15,21.77
2022-08-16,21.09
2022-08-17,19.51
2022-08-18,20.92
2022-08-19,19.15
2022-08-22,16.98
2022-08-23,17.34
2022-08-24,17.39
2022-08-25,19.33
2022-08-26,15.96
2022-08-29,15.01
2022-08-30,14.5
2022-08-31,14.01
2022-09-01,13.21
2022-09-02,12.82
2022-09-06,12.41
2022-09-07,13.01
2022-09-08,13.68
2022-09-09,14.67
2022-09-12,14.79
2022-09-13,12.06
2022-09-14,12.49
2022-09-15,11.89
2022-09-16,12.06
2022-09-19,12.28
2022-09-20,11.69
2022-09-21,11.38
2022-09-22,10.42
2022-09-23,9.96
2022-09-26,9.53
2022-09-27,9.83
2022-09-28,10.2
2022-09-29,9.24
2022-09-30,8.77
2022-10-03,9.71
2022-10-04,11.06
2022-10-05,11.38
2022-10-06,11.15
2022-10-07,9.16
2022-10-10,8.22
2022-10-11,7.53
2022-10-12,7.31
2022-10-13,7.96
2022-10-14,6.91
2022-10-17,7.36
2022-10-18,7.42
2022-10-19,7.58
2022-10-20,7.73
2022-10-21,8.6
2022-10-24,8.7
2022-10-25,9.27
2022-10-26,8.99
2022-10-27,8.52
2022-10-28,9.52
2022-10-31,8.89
2022-11-01,9.11
2022-11-02,8.22
2022-11-03,7.89
2022-11-04,9.02
2022-11-07,9.6
2022-11-08,10.17
2022-11-09,9.21
2022-11-10,12.11
2022-11-11,13.19
2022-11-14,12.76
2022-11-15,13.9
2022-11-16,12.09
2022-11-17,12.44
2022-11-18,12.5
2022-11-21,11.86
2022-11-22,12.93
2022-11-23,13.34
2022-11-25,12.84
2022-11-28,11.84
2022-11-29,11.73
