date,regime,active_CHAMP,BASE_equity,CHAMP_equity,CHAMP_cash,BASE_dd_%,CHAMP_dd_%,CHAMP_ret_%,k_today,VIX,scale
2014-02-03,NEUTRAL,longbyungi,332215.4095676664,500030.4294999177,500030.4294999177,-4.450134952696915,-5.9207430041771865,-0.22014807466234076,0.6063432684784402,21.440000534057617,0.9328357976591388
2014-02-04,NEUTRAL,longbyungi,332215.4095676664,500030.4294999177,500030.4294999177,-4.450134952696915,-5.9207430041771865,0.0,0.6802720871164244,19.110000610351562,1.046572441717576
2014-02-05,NEUTRAL,longbyungi,330877.6933532276,498011.9342512733,174196.07687299803,-4.834881114615053,-6.300516957998337,-0.40367448250362425,0.6516290477617289,19.950000762939453,1.0025062273257368
2014-02-06,NEUTRAL,longbyungi,337375.1107966306,508561.93653297273,123509.86910910037,-2.9661316767696566,-4.315565008255673,2.1184235870894685,0.7544979887046876,17.229999542236328,1.1607661364687503
2014-02-07,BULL,longbyungi,344184.21760673734,521365.1296527128,76905.39319818933,-1.0077359550147547,-1.9066818187189583,2.517528780667977,0.850228909904098,15.289999961853027,1.3080444767755355
2014-02-10,BULL,longbyungi,343877.27741737466,520769.28487679374,76763.4909210084,-1.0960163081427554,-2.0187882636394594,-0.11428550588259423,0.8519003804073051,15.260000228881836,1.3106159698573925
2014-02-11,BULL,longbyungi,348590.80511481944,530519.8026482882,54381.35177266988,0.0,-0.18425697684520959,1.8723296581904414,0.8959338245993813,14.510000228881836,1.3783597301528943
2014-02-12,BULL,longbyungi,351166.7652959947,535860.3843412143,48882.60486801935,0.0,0.0,1.0066696221831206,0.9090908969653617,14.300000190734863,1.3986013799467103
2014-02-13,BULL,longbyungi,355534.16120439157,545289.8666561929,42480.567085970426,0.0,0.0,1.7596901339462123,0.9193776297281995,14.140000343322754,1.4144271226587684
2014-02-14,BULL,longbyungi,355490.96922830644,545217.9517446723,22883.869645367435,-0.012148474267226206,-0.013188382164819323,-0.013188382164819323,0.9579956000263121,13.569999694824219,1.4738393846558648
2014-02-18,BULL,longbyungi,358402.9334122562,551798.6190769402,551798.6190769402,0.0,0.0,1.2069792110128041,0.9372747013166963,13.869999885559082,1.4419610789487636
2014-02-19,BULL,longbyungi,355204.4531091668,545444.5631685527,88999.77727047424,-0.8924258160047716,-1.1515171819416192,-1.1515171819416192,0.8387096774193549,15.5,1.2903225806451613
2014-02-20,BULL,longbyungi,356758.49496593757,548647.6175615691,66079.49445084669,-0.4588239361386859,-0.5710419356688812,0.5872373856674828,0.8789722808336804,14.789999961853027,1.3522650474364313
2014-02-21,BULL,longbyungi,357485.97004466987,550158.5673243424,550158.5673243424,-0.2558470598597373,-0.2972192564275167,0.2753953019041022,0.8855585646967965,14.680000305175781,1.3623977918412253
2014-02-24,BULL,longbyungi,353144.8966854966,540768.8803828093,47554.0975217761,-1.4670741326526682,-1.9988702966639682,-1.7067237518810674,0.9135629246799661,14.229999542236328,1.4054814225845633
2014-02-25,BULL,longbyungi,352068.374794898,538440.3771067547,538440.3771067547,-1.7674405053130005,-2.4208545488083044,-0.43059121198066874,0.9509875587012002,13.670000076293945,1.463057782617231
2014-02-26,BULL,longbyungi,351333.40859655547,536873.784569751,50654.68259021564,-1.9725075206259324,-2.7047611195830434,-0.29095004825261395,0.9059233208653434,14.350000381469727,1.3937281859466821
2014-02-27,BULL,longbyungi,350118.5224152516,534284.2346976183,534284.2346976183,-2.31147968520542,-3.1740536807830955,-0.48233867001123976,0.925925928441686,14.039999961853027,1.4245014283718245
2014-02-28,BULL,longbyungi,350118.5224152516,534284.2346976183,534284.2346976183,-2.31147968520542,-3.1740536807830955,0.0,0.9285714285714286,14.0,1.4285714285714286
2014-03-03,BULL,longbyungi,349682.30648226594,533452.1475578463,100178.29400580341,-2.4331907239049544,-3.324849117923545,-0.15573866600105957,0.8125,16.0,1.25
2014-03-04,BULL,longbyungi,357518.6557680764,548680.0849923342,42626.74902324501,-0.24672723399912222,-0.5651580081557195,2.854602330162459,0.9219857906588889,14.100000381469727,1.418439677936752
2014-03-05,BULL,longbyungi,357320.85507626564,548250.0282160942,548250.0282160942,-0.3019167074578277,-0.6430952775456689,-0.07838024160217172,0.9359251028564158,13.890000343322754,1.4398847736252551
