date,equity,cash,regime,active
2019-05-14,1048243.7422695307,310742.27253932506,BEAR,yangbyungi
2019-05-15,1054088.0437618971,306462.0057212409,BEAR,yangbyungi
2019-05-16,1004308.9737598137,480569.7145177829,BEAR,yangbyungi
2019-05-17,959731.4770538982,460242.40393713705,BEAR,yangbyungi
2019-05-20,914627.2654205074,914627.2654205074,BEAR,yangbyungi
2019-05-21,914627.2654205074,914627.2654205074,BEAR,yangbyungi
2019-05-22,914627.2654205074,914627.2654205074,BEAR,yangbyungi
2019-05-23,914627.2654205074,914627.2654205074,BEAR,yangbyungi
2019-05-24,914627.2654205074,914627.2654205074,BEAR,yangbyungi
2019-05-28,914627.2654205074,914627.2654205074,BEAR,yangbyungi
2019-05-29,927197.9130722791,365850.906168203,BEAR,yangbyungi
2019-05-30,930455.0164461588,512249.541836972,BEAR,yangbyungi
2019-05-31,902400.6261082306,499872.4204297467,BEAR,yangbyungi
2019-06-03,897755.8579070141,568303.7683434093,BEAR,yangbyungi
2019-06-04,915869.1293206898,915869.1293206898,BEAR,yangbyungi
2019-06-05,912936.264038059,640317.2545913995,BEAR,yangbyungi
2019-06-06,924397.6539449774,456352.292794178,BEAR,yangbyungi
2019-06-07,931071.9365215008,463652.3627981342,BEAR,yangbyungi
2019-06-10,960452.4775666546,380803.30248915905,BEAR,yangbyungi
2019-06-11,992541.8673073016,992541.8673073016,BEAR,yangbyungi
2019-06-12,992541.8673073016,992541.8673073016,BEAR,yangbyungi
2019-06-13,992541.8673073016,992541.8673073016,BEAR,yangbyungi
2019-06-14,992541.8673073016,992541.8673073016,BEAR,yangbyungi
2019-06-17,992541.8673073016,992541.8673073016,BEAR,yangbyungi
2019-06-18,1036169.4502967721,397016.7469229207,BEAR,yangbyungi
2019-06-19,1046173.8770952122,1046173.8770952122,BEAR,yangbyungi
2019-06-20,1046173.8770952122,1046173.8770952122,BEAR,yangbyungi
2019-06-21,1032447.1506813584,571866.0974755181,BEAR,yangbyungi
2019-06-24,1035070.480727812,1035070.480727812,BEAR,yangbyungi
