date,yangbyungi_consensus,yangbyungi_rsi,goldenbyungi,soxl_bnh
2021-05-10,184642.94620882286,167656.9148521499,152934.173398283,14749.711649365629
2021-05-11,187932.7554544856,170644.0815969662,152934.173398283,14740.484429065746
2021-05-12,187932.7554544856,170644.0815969662,152934.173398283,12957.324106113032
2021-05-13,187932.7554544856,170644.0815969662,152934.173398283,13476.355247981544
2021-05-14,193431.8628622486,175013.15161121154,158264.65360181936,14742.791234140715
2021-05-17,190366.78981094994,172577.9348083908,152018.72642290153,14325.259515570935
2021-05-18,190366.78981094994,172577.9348083908,152018.72642290153,13942.32987312572
2021-05-19,190366.78981094994,172577.9348083908,163895.75189826818,14786.620530565167
2021-05-20,196237.3977962042,176569.45587347896,166450.34354528994,15953.863898500575
2021-05-21,197645.1433882444,177526.60480916456,166450.34354528994,15732.410611303347
2021-05-24,199853.10659208166,179014.0137750561,169062.52257322127,16825.836216839678
2021-05-25,201752.5324832498,180293.57454656716,171865.95476090146,17044.98269896194
2021-05-26,199491.8755032924,178778.41911311308,170823.8509075208,17123.41407151096
2021-05-27,199730.56915314303,178942.2712869118,171726.49805833344,17448.673587081892
2021-05-28,200732.19171296534,179615.9015457874,173609.1035601528,17928.489042675894
2021-06-01,193496.30220976638,174771.98131761776,170587.8472038384,17651.672433679352
2021-06-02,194177.9785508212,175235.68724455772,171120.4858570321,18089.965397923876
2021-06-03,186037.40599987353,169709.24485206063,163369.41435253993,17098.039215686276
2021-06-04,193568.21865073236,174830.93615263735,166395.24563480477,18269.896193771627
2021-06-07,192571.24358839603,174152.4583415729,166395.24563480477,17951.557093425603
2021-06-08,191306.2223073289,173008.4320485136,166395.24563480477,17596.309111880048
2021-06-09,190222.19902879733,172028.09191393323,166395.24563480477,17374.855824682814
2021-06-10,191398.77411985822,172959.126634509,169026.24299843627,18002.30680507497
2021-06-11,191305.7936011121,172885.55029250798,169037.80335592054,18223.760092272205
2021-06-14,194394.18159652612,175327.68987462166,174683.00093593035,18961.93771626298
2021-06-15,188255.2533045163,170479.3044221385,167292.11113314587,18454.44059976932
2021-06-16,188665.45752689513,170622.21129847615,169490.0413044094,18053.05651672434
2021-06-17,191453.4198260043,172920.30656479998,171732.42377231884,18592.84890426759
2021-06-18,188999.9667069556,170978.84413850572,166221.74264508157,17236.447520184545
2021-06-21,188968.39837621647,170953.8556308578,166221.74264508157,17589.388696655133
2021-06-22,187879.45816594604,170091.7520813028,166253.41063428216,17748.558246828143
2021-06-23,186942.15879208464,169349.7996887913,166740.2037371333,17983.8523644752
2021-06-24,192155.40318169817,173475.54583647792,174275.93958070202,18925.02883506344
2021-06-25,192842.62421189563,174018.8689515315,175804.59065064252,18740.484429065742
2021-06-28,196682.79019878164,177051.02367516016,181644.38869584064,20096.88581314879
2021-06-29,198237.77508569838,178275.40141968947,180573.4064766858,20576.701268742792
2021-06-30,197968.29250959933,178063.07971555323,180573.4064766858,20572.08765859285
2021-07-01,197968.29250959933,178063.07971555323,180573.4064766858,19584.77508650519
2021-07-02,197968.29250959933,178063.07971555323,180573.4064766858,19972.318339100344
2021-07-06,197968.29250959933,178063.07971555323,180573.4064766858,19880.0461361015
2021-07-07,197860.839685592,177966.43100214397,180573.4064766858,19044.982698961936
2021-07-08,203163.95932531083,182736.33532963917,182530.73020304582,18352.941176470587
2021-07-09,207508.98855928332,186155.9643895075,186723.63325403386,19266.43598615917
2021-07-12,209163.9381858215,187456.57589861983,189601.44278916597,19949.250288350635
2021-07-13,208408.3465845206,186863.78032364056,184769.9783481307,19614.763552479817
2021-07-14,199726.60744532023,180052.56189510145,183347.11623607672,19580.161476355246
2021-07-15,185219.05313820613,168518.04686887766,166828.78416837603,18163.783160322953
2021-07-16,188891.78640020842,171445.6417061337,169820.06418220632,16904.267589388695
2021-07-19,195038.57802874554,176512.41947176462,169820.06418220632,16936.56286043829
2021-07-20,199213.66700942328,179818.62064063095,174912.71776800154,17720.876585928487
2021-07-21,209019.58500171965,187561.70992194372,186192.43824776242,19229.52710495963
2021-07-22,207703.86146900928,186523.0840466026,183266.90379202508,18722.029988465973
2021-07-23,207703.86146900928,186523.0840466026,183664.90169404843,19130.334486735872
2021-07-26,207703.86146900928,186523.0840466026,181503.973483356,19102.652825836216
2021-07-27,205224.06879782616,184296.17033612134,176422.34025569295,18006.920415224915
2021-07-28,207428.62861754553,185888.55597757085,176422.34025569295,18996.539792387543
2021-07-29,211122.91614919604,188786.4080218071,176422.34025569295,20041.522491349482
2021-07-30,212019.67771605816,189488.2432054979,176422.34025569295,20429.065743944637
2021-08-02,209520.77194315783,187545.6373694539,171777.52486639397,20848.904267589387
2021-08-03,209993.2737654588,187914.4672562268,172083.52556312305,21139.561707035755
2021-08-04,208998.4755891785,187135.53826852754,176491.87997321843,21956.17070357555
2021-08-05,209267.31056027013,187346.03659560892,176749.49116862734,21670.12687427912
2021-08-06,207269.26791204477,185780.88674573338,176131.7194000627,21504.0369088812
2021-08-09,209316.81108932607,187384.81241738104,178285.17156648496,21271.04959630911
2021-08-10,207798.9150646291,186025.95996603373,178285.17156648496,20472.895040369087
2021-08-11,206526.11323043448,184886.52098975738,178285.17156648496,20350.63437139562
2021-08-12,206526.11323043448,184886.52098975738,178285.17156648496,19820.06920415225
2021-08-13,206504.8176298794,184869.83975387024,178297.84855121016,20048.442906574393
2021-08-16,206161.9555136512,184601.2695474206,177531.3927657653,19820.06920415225
2021-08-17,206161.9555136512,184601.2695474206,177531.3927657653,18588.235294117647
2021-08-18,206161.9555136512,184601.2695474206,177531.3927657653,17817.762399077277
2021-08-19,209296.75330997375,187057.3565354009,180941.89733137525,18283.737024221457
2021-08-20,210446.12550325698,187957.87971797457,183388.41183486552,18629.75778546713
2021-08-23,210446.12550325698,187957.87971797457,188939.54983648256,20143.02191464821
2021-08-24,210446.12550325698,187957.87971797457,189168.1301512826,20154.55594002307
2021-08-25,210446.12550325698,187957.87971797457,186059.389719307,20673.587081891583
2021-08-26,210446.12550325698,187957.87971797457,184313.35786236063,20627.450980392157
2021-08-27,215739.64624237435,192094.75354014523,193021.71498113143,21822.376009227217
2021-08-30,217880.8298381583,193768.0834093198,197750.47557413497,22006.920415224915
2021-08-31,218314.5297108635,194105.5731463699,199351.7640985632,21573.24106113033
2021-09-01,218412.11335041845,194181.50924625475,199544.42226426903,21264.129181084198
2021-09-02,216625.17849145067,192791.40322282142,198409.26684246538,21328.71972318339
2021-09-03,221139.61289303636,196303.30653734063,203557.94571781863,21868.512110726642
2021-09-07,221139.61289303636,196303.30653734063,203557.94571781863,21554.786620530565
2021-09-08,221139.61289303636,196303.30653734063,203557.94571781863,20662.05305651672
2021-09-09,221139.61289303636,196303.30653734063,203557.94571781863,20987.31257208766
2021-09-10,214491.17466823792,191139.2764884371,199393.3139707943,21490.196078431374
2021-09-13,218134.30017811188,193968.9951334481,203629.20118330474,22025.374855824684
2021-09-14,218134.30017811188,193968.9951334481,203629.20118330474,21946.943483275663
2021-09-15,219676.4598243268,195168.8970383021,206930.32625797397,22362.168396770474
2021-09-16,218643.30567913578,194365.19122508675,208390.7178387563,22788.927335640143
2021-09-17,216074.9486987961,192366.3934357172,202249.00481851547,21568.62745098039
2021-09-20,216074.9486987961,192366.3934357172,202249.00481851547,19552.479815455594
2021-09-21,216074.9486987961,192366.3934357172,202249.00481851547,20179.930795847755
2021-09-22,218902.97223172509,194569.400329852,206372.9105562491,21277.970011534024
2021-09-23,221550.83824896422,196629.67770034785,209528.34408662206,22196.07843137255
2021-09-24,220431.5035285796,195760.37255653364,212666.36322926715,22191.464821222606
2021-09-27,217564.82606266654,193530.9535373423,207049.01794303217,21981.54555940023
2021-09-28,208820.60204197597,186729.2948137311,181193.9660925681,19372.549019607843
2021-09-29,208585.33035168744,186518.91271355702,182462.77869996938,18479.815455594002
2021-09-30,206111.865169992,184307.11749503989,182462.77869996938,18560.55363321799
2021-10-01,206111.865169992,184307.11749503989,182462.77869996938,18523.644752018452
2021-10-04,206133.5113867402,184326.47374030133,182462.77869996938,17005.76701268743
2021-10-05,205563.13389451383,183750.17933100526,182462.77869996938,17813.148788927334
2021-10-06,205867.26865465447,183959.14698104004,184673.35075997494,17965.397923875433
2021-10-07,210528.87192676272,187093.86669464398,187880.12270461617,18620.530565167242
2021-10-08,210528.87192676272,187093.86669464398,186608.2766842881,18154.555940023067
2021-10-11,210528.87192676272,187093.86669464398,186608.2766842881,17794.694348327568
2021-10-12,209696.909311736,186354.51393430197,186608.2766842881,17084.19838523645
2021-10-13,207762.43665100145,184635.3769494337,186608.2766842881,17342.56055363322
2021-10-14,207762.43665100145,184635.3769494337,188486.32930587203,18901.960784313727
2021-10-15,207762.43665100145,184635.3769494337,191152.74466522387,19229.52710495963
