date,strategy,leg,ticker,action,qty,price,pnl,side,regime_today,active_today,bear_streak,equity_eod,cash_eod,reason_short,reason_detail
2022-02-14,yangbyungi,LONG,SOXL,STOP_BUY,804355.4611449818,40.366423125,0.0,,BEAR,yangbyungi,1,64317984.301675856,40434659.67957731,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-02-14,yangbyungi,LONG,SOXL,LOC_SELL,201088.86528624545,39.5702051525116,-165736.59666450508,loser,BEAR,yangbyungi,1,64317984.301675856,40434659.67957731,양변기 v5 loser LOC 전량청산,"종가 > entry → loc_on_loss 100% 적용. SOXL 종가 @ 39.5702, pnl $-165,737. F1_A6 asymmetric LOC"
2022-02-15,yangbyungi,LONG,SOXL,MOO_SELL,603266.5958587363,41.87905152511597,895152.6041062772,,BEAR,yangbyungi,2,65690050.04942867,65690050.04942867,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 41.8791
2022-02-16,yangbyungi,LONG,SOXL,STOP_BUY,733654.2503015819,44.7534152150917,0.0,,BEAR,yangbyungi,3,66666484.84414972,32845025.024714336,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-02-17,yangbyungi,LONG,SOXL,MOO_SELL,733654.2503015819,44.09793893241883,-503708.1215202138,,BEAR,yangbyungi,4,65368008.11330252,39111805.15674508,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 44.0979
2022-02-17,yangbyungi,SHORT,SOXS,STOP_BUY,2997.2834425293886,8696.346,0.0,,BEAR,yangbyungi,4,65368008.11330252,39111805.15674508,양변기 v5 SOXS SHORT(롱) 진입,"BEAR regime — SOXS intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-02-18,yangbyungi,SHORT,SOXS,MOO_SELL,2997.2834425293886,8715.640000000001,39563.5566713959,,BEAR,yangbyungi,5,64512463.81525858,45475728.94857356,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXS 시가 @ 8715.6400
2022-02-18,yangbyungi,SHORT,SOXS,STOP_BUY,2820.257017286669,9247.8216,0.0,,BEAR,yangbyungi,5,64512463.81525858,45475728.94857356,양변기 v5 SOXS SHORT(롱) 진입,"BEAR regime — SOXS intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-02-18,yangbyungi,SHORT,SOXS,LOC_SELL,705.0642543216674,8995.5,-182404.89063233972,loser,BEAR,yangbyungi,5,64512463.81525858,45475728.94857356,양변기 v5 loser LOC 전량청산,"종가 > entry → loc_on_loss 100% 적용. SOXS 종가 @ 8995.5000, pnl $-182,405. F1_A6 asymmetric LOC"
2022-02-22,yangbyungi,SHORT,SOXS,MOO_SELL,2115.192762965002,9335.33,171339.70265655592,,BEAR,yangbyungi,6,65017833.13402355,40704857.95119873,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXS 시가 @ 9335.3300
2022-02-22,yangbyungi,LONG,SOXL,STOP_BUY,839608.902649827,38.822851260137554,0.0,,BEAR,yangbyungi,6,65017833.13402355,40704857.95119873,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-02-22,yangbyungi,LONG,SOXL,LOC_SELL,209902.22566245677,38.59069561004639,-54417.2341788169,loser,BEAR,yangbyungi,6,65017833.13402355,40704857.95119873,양변기 v5 loser LOC 전량청산,"종가 > entry → loc_on_loss 100% 적용. SOXL 종가 @ 38.5907, pnl $-54,417. F1_A6 asymmetric LOC"
2022-02-23,yangbyungi,LONG,SOXL,MOO_SELL,629706.6769873702,40.04996469497681,755338.1647452787,,BEAR,yangbyungi,7,63305618.789446905,13854157.406922216,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 40.0500
2022-02-23,yangbyungi,LONG,SOXL,STOP_BUY,809663.9919517684,40.6913852150917,0.0,,BEAR,yangbyungi,7,63305618.789446905,13854157.406922216,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-02-23,yangbyungi,LONG,SOXL,LOC_SELL,202415.9979879421,35.89204484748841,-976888.8691911484,loser,BEAR,yangbyungi,7,63305618.789446905,13854157.406922216,양변기 v5 loser LOC 전량청산,"종가 > entry → loc_on_loss 100% 적용. SOXL 종가 @ 35.8920, pnl $-976,889. F1_A6 asymmetric LOC"
2022-02-23,yangbyungi,SHORT,SOXS,STOP_BUY,2792.4430315093305,9438.717,0.0,,BEAR,yangbyungi,7,63305618.789446905,13854157.406922216,양변기 v5 SOXS SHORT(롱) 진입,"BEAR regime — SOXS intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-02-24,yangbyungi,LONG,SOXL,MOO_SELL,607247.9939638263,31.79409446620941,-5418267.790716469,,BEAR,yangbyungi,8,63789268.05723336,63789268.05723336,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 31.7941
2022-02-24,yangbyungi,SHORT,SOXS,MOO_SELL,2792.4430315093305,10974.51,4268663.489970442,,BEAR,yangbyungi,8,63789268.05723336,63789268.05723336,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXS 시가 @ 10974.5100
2022-02-25,yangbyungi,LONG,SOXL,STOP_BUY,784914.803987965,40.62029999999999,0.0,,BEAR,yangbyungi,9,64688373.58108589,31894634.02861667,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-02-28,yangbyungi,LONG,SOXL,MOO_SELL,784914.803987965,40.17990076255799,-367873.326943554,,NEUTRAL,longbyungi,0,63688990.77756341,0.0,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 40.1799
2022-02-28,longbyungi,LONG,SOXL,STOP_BUY,1553011.2992987395,40.82340227477073,0.0,,NEUTRAL,longbyungi,0,63688990.77756341,0.0,롱변기 진입,"NEUTRAL regime — SOXL intraday High가 시가 × (1+breakout_thr) 터치 → stop-buy 체결 (entry × 40.8234, slippage +0.05%)"
2022-03-01,longbyungi,LONG,SOXL,MOO_SELL,1553011.2992987395,40.75960877990723,-143416.78664432466,,BEAR,yangbyungi,1,64160753.0600749,37966786.76618728,롱변기 익일 MOO 청산,"전일 carry position을 익일 시가에 청산. SOXL @ 40.7596 (slippage −0.05%, commission 0.035%)"
